baseline_run_root,candidate_run_root,candidate_run_name,backend,baseline_profile_id,candidate_profile_id,baseline_ttft_ms,candidate_ttft_ms,ttft_improve_pct,baseline_tps,candidate_tps,tps_ratio,candidate_samples,candidate_blocker_signature,hard_gate,strict_gate_pass,rgp_status,rgp_dram_bytes_per_token
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_20260304_1,r_non_ort_target_c_low2_20260304_1,llama,L0,L0,1473.694000,629.457000,57.287130,4.650000,10.224000,2.198710,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_20260304_1,r_non_ort_target_c_low2_20260304_1,mlc,M0,M0,4499.779000,2855.394000,36.543684,11.029000,16.512000,1.497144,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_20260304_1,r_non_ort_target_c_low2_20260304_1,torch_rocm,T0,T0,1532.064000,372.644000,75.676995,0.841000,5.423000,6.448276,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_20260305_1,r_non_ort_target_c_low2_ondemand_20260305_1,llama,L0,L0,1473.694000,421.329000,71.410008,4.650000,12.451000,2.677634,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_20260305_1,r_non_ort_target_c_low2_ondemand_20260305_1,mlc,M0,M0,4499.779000,1444.961000,67.888179,11.029000,17.047000,1.545652,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_20260305_1,r_non_ort_target_c_low2_ondemand_20260305_1,torch_rocm,T0,T0,1532.064000,487.690000,68.167779,0.841000,5.704000,6.782402,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_flash_20260305_1,r_non_ort_target_c_low2_ondemand_flash_20260305_1,llama,L0,L0,1473.694000,441.724000,70.026071,4.650000,12.338000,2.653333,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_flash_20260305_1,r_non_ort_target_c_low2_ondemand_flash_20260305_1,mlc,M0,M0,4499.779000,1564.540000,65.230737,11.029000,16.922000,1.534319,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_flash_20260305_1,r_non_ort_target_c_low2_ondemand_flash_20260305_1,torch_rocm,T0,T0,1532.064000,507.212000,66.893550,0.841000,5.417000,6.441141,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_eager_20260305_1,r_non_ort_target_c_low2_ondemand_eager_20260305_1,llama,L0,L0,1473.694000,435.779000,70.429479,4.650000,12.252000,2.634839,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_eager_20260305_1,r_non_ort_target_c_low2_ondemand_eager_20260305_1,mlc,M0,M0,4499.779000,1225.805000,72.758551,11.029000,16.987000,1.540212,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_low2_ondemand_eager_20260305_1,r_non_ort_target_c_low2_ondemand_eager_20260305_1,torch_rocm,T0,T0,1532.064000,501.738000,67.250846,0.841000,5.420000,6.444709,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_20260305_074749,r_non_ort_target_c_torch_lite_sdpa_20260305_074749,llama,L0,L0,1473.694000,434.934000,70.486817,4.650000,12.297000,2.644516,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_20260305_074749,r_non_ort_target_c_torch_lite_sdpa_20260305_074749,mlc,M0,M0,4499.779000,1534.886000,65.889747,11.029000,17.029000,1.544020,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_20260305_074749,r_non_ort_target_c_torch_lite_sdpa_20260305_074749,torch_rocm,T0,T0,1532.064000,462.088000,69.838858,0.841000,6.009000,7.145065,2.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_r2_20260305_080003,r_non_ort_target_c_torch_lite_sdpa_r2_20260305_080003,llama,L0,L0,1473.694000,439.466000,70.179291,4.650000,12.274000,2.639570,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_r2_20260305_080003,r_non_ort_target_c_torch_lite_sdpa_r2_20260305_080003,mlc,M0,M0,4499.779000,1228.665000,72.694992,11.029000,17.012000,1.542479,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_r2_20260305_080003,r_non_ort_target_c_torch_lite_sdpa_r2_20260305_080003,torch_rocm,T0,T0,1532.064000,479.992000,68.670238,0.841000,5.925000,7.045184,2.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite3_sdpa_20260305_081253,r_non_ort_target_c_torch_lite3_sdpa_20260305_081253,llama,L0,L0,1473.694000,442.411000,69.979453,4.650000,12.226000,2.629247,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite3_sdpa_20260305_081253,r_non_ort_target_c_torch_lite3_sdpa_20260305_081253,mlc,M0,M0,4499.779000,1554.126000,65.462170,11.029000,17.003000,1.541663,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite3_sdpa_20260305_081253,r_non_ort_target_c_torch_lite3_sdpa_20260305_081253,torch_rocm,T0,T0,1532.064000,474.420000,69.033931,0.841000,6.148000,7.310345,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_compile_20260305_082736,r_non_ort_target_c_torch_lite_sdpa_compile_20260305_082736,llama,L0,L0,1473.694000,428.382000,70.931415,4.650000,12.321000,2.649677,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_compile_20260305_082736,r_non_ort_target_c_torch_lite_sdpa_compile_20260305_082736,mlc,M0,M0,4499.779000,1474.626000,67.228924,11.029000,17.061000,1.546922,3.000000,,True,True,,nan
<repo-root>\results\r_non_ort_deep12_20260304_4\N_B0,<repo-root>\results\r_non_ort_target_c_torch_lite_sdpa_compile_20260305_082736,r_non_ort_target_c_torch_lite_sdpa_compile_20260305_082736,torch_rocm,T0,T0,1532.064000,457.711000,70.124551,0.841000,6.309000,7.501784,2.000000,,True,True,,nan

